f_n,s_n,d,N,pi_s,div,s,c
1,1,9,10000,1.0,0.04180482741563445,0.001,134
1,2,9,10000,1.0,0.03904501471107335,0.002,73
1,3,9,10000,1.0,0.038087723408202476,0.003,57
1,4,9,10000,1.0,0.03985357945319696,0.004,45
1,5,9,10000,1.0,0.05896570476992844,0.005,34
1,6,9,10000,1.0,0.06708397545194462,0.006,23
1,7,9,10000,1.0,0.06968554219356239,0.007,17
1,8,9,10000,1.0,0.07013144114098627,0.008,14
1,9,9,10000,1.0,0.07013144114098627,0.009,14
1,10,9,10000,1.0,0.07140263388608019,0.01,13
2,1,9,10000,1.0,0.037238461539476596,0.001,118
2,2,9,10000,1.0,0.03486521224372196,0.002,73
2,3,9,10000,1.0,0.034123844809548845,0.003,51
2,4,9,10000,1.0,0.035612282787126,0.004,38
2,5,9,10000,1.0,0.04104109279535873,0.005,32
2,6,9,10000,1.0,0.053631075713847946,0.006,24
2,7,9,10000,1.0,0.05838259486500414,0.007,21
2,8,9,10000,1.0,0.06720841510460464,0.008,16
2,9,9,10000,1.0,0.0709822702155359,0.009,15
2,10,9,10000,1.0,0.08549461958166425,0.01,10
3,1,9,10000,1.0,0.0442213377668492,0.001,173
3,2,9,10000,1.0,0.033946540321012075,0.002,88
3,3,9,10000,1.0,0.03450780332004334,0.003,54
3,4,9,10000,1.0,0.03507528649127009,0.004,45
3,5,9,10000,1.0,0.036380936319646284,0.005,40
3,6,9,10000,1.0,0.05473968482385943,0.006,27
3,7,9,10000,1.0,0.06358969200134273,0.007,22
3,8,9,10000,1.0,0.07073593824813162,0.008,18
3,9,9,10000,1.0,0.07291031795254058,0.009,17
3,10,9,10000,1.0,0.07963380906565876,0.01,14
4,1,9,10000,1.0,0.049045194725860455,0.001,158
4,2,9,10000,1.0,0.0408813977101625,0.002,106
4,3,9,10000,1.0,0.03476496868001109,0.003,45
4,4,9,10000,1.0,0.03521556525608491,0.004,36
4,5,9,10000,1.0,0.03521556525608491,0.005,36
4,6,9,10000,1.0,0.03521556525608491,0.006,36
4,7,9,10000,1.0,0.03521556525608491,0.007,36
4,8,9,10000,1.0,0.03521556525608491,0.008,36
4,9,9,10000,1.0,0.05969678606641746,0.009,26
4,10,9,10000,1.0,0.084862772684505,0.01,15
5,1,9,10000,1.0,0.04806108620427282,0.001,139
5,2,9,10000,1.0,0.04346115096584187,0.002,86
5,3,9,10000,1.0,0.04684829725043792,0.003,54
5,4,9,10000,1.0,0.055331216331127656,0.004,37
5,5,9,10000,1.0,0.06210621556223265,0.005,31
5,6,9,10000,1.0,0.0656713176245177,0.006,28
5,7,9,10000,1.0,0.06696021867982141,0.007,26
5,8,9,10000,1.0,0.07140380626743638,0.008,23
5,9,9,10000,1.0,0.09474360815760333,0.009,16
5,10,9,10000,1.0,0.09948411050486221,0.01,14
6,1,9,10000,1.0,0.04121181732490661,0.001,129
6,2,9,10000,1.0,0.032972005287277624,0.002,86
6,3,9,10000,1.0,0.0342008482606745,0.003,37
6,4,9,10000,1.0,0.034408184538251056,0.004,36
6,5,9,10000,1.0,0.034408184538251056,0.005,36
6,6,9,10000,1.0,0.034408184538251056,0.006,36
6,7,9,10000,1.0,0.034408184538251056,0.007,36
6,8,9,10000,1.0,0.05027357874721928,0.008,29
6,9,9,10000,1.0,0.07596718023136792,0.009,18
6,10,9,10000,1.0,0.10272848728846463,0.01,6
7,1,9,10000,1.0,0.042794027403494216,0.001,129
7,2,9,10000,1.0,0.03407300591672734,0.002,74
7,3,9,10000,1.0,0.03533310300784233,0.003,38
7,4,9,10000,1.0,0.03505007765179867,0.004,36
7,5,9,10000,1.0,0.03505007765179867,0.005,36
7,6,9,10000,1.0,0.03505007765179867,0.006,36
7,7,9,10000,1.0,0.03806561231444935,0.007,34
7,8,9,10000,1.0,0.0480331005254791,0.008,30
7,9,9,10000,1.0,0.09071172868124916,0.009,12
7,10,9,10000,1.0,0.10441532425888336,0.01,5
8,1,9,10000,1.0,0.044019365442133626,0.001,131
8,2,9,10000,1.0,0.03412574406220471,0.002,81
8,3,9,10000,1.0,0.0345320109949486,0.003,37
8,4,9,10000,1.0,0.0337101012894609,0.004,36
8,5,9,10000,1.0,0.0337101012894609,0.005,36
8,6,9,10000,1.0,0.0337101012894609,0.006,36
8,7,9,10000,1.0,0.0337101012894609,0.007,36
8,8,9,10000,1.0,0.0414994662903632,0.008,32
8,9,9,10000,1.0,0.06596437038446566,0.009,22
8,10,9,10000,1.0,0.10348250188471109,0.01,6
9,1,9,10000,1.0,0.04819965972611942,0.001,176
9,2,9,10000,1.0,0.03864413432748555,0.002,110
9,3,9,10000,1.0,0.03370223642054368,0.003,51
9,4,9,10000,1.0,0.03536054462551698,0.004,36
9,5,9,10000,1.0,0.03536054462551698,0.005,36
9,6,9,10000,1.0,0.03536054462551698,0.006,36
9,7,9,10000,1.0,0.03536054462551698,0.007,36
9,8,9,10000,1.0,0.037488045940351586,0.008,35
9,9,9,10000,1.0,0.04913010901561185,0.009,30
9,10,9,10000,1.0,0.07960190218312624,0.01,18
10,1,9,10000,1.0,0.043845876287783865,0.001,144
10,2,9,10000,1.0,0.03771926286460728,0.002,72
10,3,9,10000,1.0,0.03581451565036031,0.003,48
10,4,9,10000,1.0,0.03977959408429739,0.004,39
10,5,9,10000,1.0,0.04984982564150801,0.005,36
10,6,9,10000,1.0,0.0627937058167453,0.006,30
10,7,9,10000,1.0,0.0737621796195337,0.007,22
10,8,9,10000,1.0,0.07944481913318274,0.008,16
10,9,9,10000,1.0,0.08417170655742914,0.009,10
10,10,9,10000,1.0,0.08698764178303017,0.01,7
11,1,9,10000,1.2,0.05226105966632743,0.001,246
11,2,9,10000,1.2,0.05017314704913008,0.002,239
11,3,9,10000,1.2,0.03953270268841249,0.003,139
11,4,9,10000,1.2,0.03861284187269683,0.004,120
11,5,9,10000,1.2,0.03539092150143537,0.005,98
11,6,9,10000,1.2,0.03410513691237842,0.006,49
11,7,9,10000,1.2,0.035879694005816684,0.007,36
11,8,9,10000,1.2,0.035879694005816684,0.008,36
11,9,9,10000,1.2,0.035879694005816684,0.009,36
11,10,9,10000,1.2,0.035879694005816684,0.01,36
12,1,9,10000,1.2,0.05682114875905154,0.001,246
12,2,9,10000,1.2,0.047253059207616604,0.002,160
12,3,9,10000,1.2,0.04184602953207978,0.003,120
12,4,9,10000,1.2,0.037740870946662515,0.004,98
12,5,9,10000,1.2,0.03721656940662015,0.005,44
12,6,9,10000,1.2,0.037501664508150526,0.006,36
12,7,9,10000,1.2,0.037501664508150526,0.007,36
12,8,9,10000,1.2,0.037501664508150526,0.008,36
12,9,9,10000,1.2,0.037501664508150526,0.009,36
12,10,9,10000,1.2,0.037501664508150526,0.01,36
13,1,9,10000,1.2,0.05813979955384697,0.001,245
13,2,9,10000,1.2,0.05004007034553399,0.002,178
13,3,9,10000,1.2,0.041401591696035814,0.003,119
13,4,9,10000,1.2,0.03736686873545068,0.004,106
13,5,9,10000,1.2,0.034786096846374494,0.005,57
13,6,9,10000,1.2,0.037031261939536125,0.006,38
13,7,9,10000,1.2,0.03778588400364703,0.007,36
13,8,9,10000,1.2,0.03778588400364703,0.008,36
13,9,9,10000,1.2,0.03778588400364703,0.009,36
13,10,9,10000,1.2,0.03778588400364703,0.01,36
14,1,9,10000,1.2,0.05407770608267999,0.001,242
14,2,9,10000,1.2,0.046545144586013894,0.002,180
14,3,9,10000,1.2,0.04274587230729223,0.003,123
14,4,9,10000,1.2,0.04171339729661735,0.004,84
