f_n,d,N,pi_s,max_d,emp_d
1,9,10000,1.0,0.03810899572526891,0.08427708441727713
2,9,10000,1.0,0.03750170589347495,0.08029942856964832
3,9,10000,1.0,0.03806574829372201,0.0825600499390758
4,9,10000,1.0,0.031576159838662105,0.07477696004103948
5,9,10000,1.0,0.031322026247336515,0.0790917234326429
6,9,10000,1.0,0.03602030962487686,0.08278438747997698
7,9,10000,1.0,0.039041785138862674,0.08335289267624053
8,9,10000,1.0,0.06075062638565192,0.05381957716339092
9,9,10000,1.0,0.035873248226507844,0.07912954963939037
10,9,10000,1.0,0.029467981267553265,0.07444941272961438
11,9,10000,1.2,0.04738073459624071,0.06541459910418133
12,9,10000,1.2,0.042643009309680874,0.06814666299769156
13,9,10000,1.2,0.04009576684338786,0.09038275634734666
14,9,10000,1.2,0.03532635613346703,0.082654250470192
15,9,10000,1.2,0.03643849740919837,0.07904790420254111
16,9,10000,1.2,0.036605923842380615,0.08586686589726915
17,9,10000,1.2,0.035817328027740715,0.09081670100786204
18,9,10000,1.2,0.03214510253899276,0.08710423471403361
19,9,10000,1.2,0.04333486182657332,0.05878775287252473
20,9,10000,1.2,0.03708844161563815,0.08532163682403633
21,9,10000,1.4,0.0420487497085898,0.08883310977841527
22,9,10000,1.4,0.04385207607144448,0.08652140980675697
23,9,10000,1.4,0.04085975245940621,0.08957875766172556
24,9,10000,1.4,0.03994362584289068,0.08823887340597424
25,9,10000,1.4,0.04182971417118382,0.09035396303840848
26,9,10000,1.4,0.04084438273647348,0.0939113247663709
27,9,10000,1.4,0.043995413716117336,0.08881199192012752
28,9,10000,1.4,0.042423313123357884,0.0909990511601806
29,9,10000,1.4,0.0403553243673882,0.08664889349144772
30,9,10000,1.4,0.038877224370391525,0.08911979151805573
31,9,10000,1.6,0.048458379835223296,0.06919969549363286
32,9,10000,1.6,0.043057109814451315,0.08620215572029945
33,9,10000,1.6,0.044059651992332735,0.09001086578213258
34,9,10000,1.6,0.040763435882588545,0.08835310250788955
35,9,10000,1.6,0.0400410386715999,0.09251785714880745
36,9,10000,1.6,0.04585761234453514,0.08878998465754531
37,9,10000,1.6,0.041328047970281216,0.09089286644825753
38,9,10000,1.6,0.04230317274221196,0.08249379537357039
39,9,10000,1.6,0.04337122603152719,0.08341615900459086
40,9,10000,1.6,0.04475038065234041,0.07201416790624322
41,9,10000,1.8,0.04467007724697623,0.08720581072253468
42,9,10000,1.8,0.04499780607227561,0.08764673001480482
43,9,10000,1.8,0.044312308982756586,0.09010624833992303
44,9,10000,1.8,0.041543687460746194,0.08360863938550786
45,9,10000,1.8,0.04254946418735218,0.09131581529848379
46,9,10000,1.8,0.04743928596064886,0.08727525370464585
47,9,10000,1.8,0.044860544339779346,0.08951705636263137
48,9,10000,1.8,0.04578733191810529,0.0880099329191133
49,9,10000,1.8,0.045935170138051006,0.09005221246400186
50,9,10000,1.8,0.04347813495501088,0.0850142079662528
51,10,10000,1.0,0.03734699125706321,0.09232873769989543
52,10,10000,1.0,0.042583919459397164,0.09568087063201029
53,10,10000,1.0,0.038126972815017875,0.0914147459543424
54,10,10000,1.0,0.048430325863869604,0.07805486411598894
55,10,10000,1.0,0.03721991066084143,0.09450985924147348
56,10,10000,1.0,0.03856394193157393,0.09476932556071768
57,10,10000,1.0,0.036161750007485394,0.08675187136534213
58,10,10000,1.0,0.03807080878181039,0.09304953746549827
59,10,10000,1.0,0.03831625189445933,0.09825115825188305
60,10,10000,1.0,0.0385115379351186,0.07894972381479015
61,10,10000,1.2,0.03805127953653557,0.10928608798369091
62,10,10000,1.2,0.03851180801944771,0.10745060125083808
63,10,10000,1.2,0.042883351999912125,0.1122553501624196
64,10,10000,1.2,0.036390482500897096,0.10481343209131752
65,10,10000,1.2,0.0399902981751655,0.10772696563860229
66,10,10000,1.2,0.03630356571712076,0.10781098823353433
67,10,10000,1.2,0.04302179198200322,0.1002961270667117
68,10,10000,1.2,0.042656766319455725,0.10287847887919462
69,10,10000,1.2,0.04337752931694416,0.08677081817085545
70,10,10000,1.2,0.03938546198179963,0.11197806698650965
71,10,10000,1.4,0.04690846992340181,0.11914627181808363
72,10,10000,1.4,0.03999431974982309,0.11955709011804964
73,10,10000,1.4,0.045868034798055214,0.11813365796509735
74,10,10000,1.4,0.04281705159325342,0.11803388926528384
75,10,10000,1.4,0.04739497456518624,0.11323870541849494
76,10,10000,1.4,0.04138121044245147,0.11280708415609583
77,10,10000,1.4,0.04262106962413233,0.11869081433702114
78,10,10000,1.4,0.04648943340280678,0.12098466234886511
79,10,10000,1.4,0.04925148944739507,0.12118944013170568
80,10,10000,1.4,0.046831902231281204,0.11548825664787223
81,10,10000,1.6,0.05096006499047817,0.12541722301471175
82,10,10000,1.6,0.04892039854160602,0.12531038145982543
83,10,10000,1.6,0.04138286442945913,0.12010272414394908
84,10,10000,1.6,0.04590885339772393,0.12340205647443231
85,10,10000,1.6,0.0448774641794988,0.11538243249709038
86,10,10000,1.6,0.047996419409237434,0.12196100338182486
87,10,10000,1.6,0.04524441014051602,0.1243515608753412
88,10,10000,1.6,0.04349555588332833,0.11821846534830562
89,10,10000,1.6,0.04353341986277511,0.09505549972699118
90,10,10000,1.6,0.04508424092139105,0.12206251922255326
91,10,10000,1.8,0.04816706654990301,0.12484968054905156
92,10,10000,1.8,0.046493120931320665,0.12493544537209063
93,10,10000,1.8,0.05082758732923293,0.12152408404162952
94,10,10000,1.8,0.0508119821646045,0.12662810712014616
95,10,10000,1.8,0.05020086120054249,0.11350265023432371
96,10,10000,1.8,0.05280888912464836,0.12063077910230889
97,10,10000,1.8,0.05006571072141487,0.13030517144656134
98,10,10000,1.8,0.04937851679938169,0.12499255901860902
99,10,10000,1.8,0.05309787302211675,0.11301866456322636
100,10,10000,1.8,0.04847308244908941,0.125772783435902
101,10,20000,1.0,0.029747830110578445,0.07140505738727046
