f,d,N,pi_s,K,theta,w_p,w_e,v
1,9,10000,1.0,6,0.6126926786688819,0.8690777557978218,0.7711796113596437,[0.33301464 0.28472388 0.24736274 0.02030244 0.01019329 0.10440301]
2,9,10000,1.0,6,0.16613942767452095,0.3513295999307492,0.7744558942378006,[0.1845968  0.06810071 0.42277236 0.00943856 0.07794258 0.23714898]
3,9,10000,1.0,4,0.5855089780196329,0.27739272523307507,0.8810033106391553,[0.60426107 0.08781466 0.26147387 0.04645041]
4,9,10000,1.0,1,0.5072683204405305,0.1946596812226403,0.8774090534761106,[1.]
5,9,10000,1.0,4,0.6719102288325314,0.7223082584337633,0.8889598751059835,[0.05231465 0.84310202 0.09405981 0.01052352]
6,9,10000,1.0,1,0.09163831639155817,0.3399810934124472,0.7733461991675957,[1.]
7,9,10000,1.0,2,0.2854624835884484,0.432748797807374,0.8711729333658459,[0.26781589 0.73218411]
8,9,10000,1.0,2,0.7375322018959896,0.9066103132480968,0.9112366229995013,[0.81949659 0.18050341]
9,9,10000,1.0,2,0.9707291471501585,0.5269459159423826,0.776486321249265,[0.87711757 0.12288243]
10,9,10000,1.0,4,0.8867664993335088,0.5301083868162688,0.8534293944362565,[0.32332921 0.18256825 0.19627818 0.29782436]
11,9,10000,1.2,1,0.4772700902785112,0.8012591042321918,0.7921298958318852,[1.]
12,9,10000,1.2,1,0.8656758530883585,0.8842022903764272,0.830622647392357,[1.]
13,9,10000,1.2,2,0.5933643108492284,0.9144398872811024,0.8179005704198309,[0.51119497 0.48880503]
14,9,10000,1.2,4,0.9388071857867477,0.912213992075506,0.8873036259801741,[0.01416213 0.16040215 0.21878426 0.60665146]
15,9,10000,1.2,2,0.1383253446085272,0.9676678157376285,0.927453894401993,[0.41008285 0.58991715]
16,9,10000,1.2,1,0.46147133079086666,0.5880271272234955,0.8743614804196247,[1.]
17,9,10000,1.2,4,0.9292087521488555,0.927170104570229,0.8328217263276667,[0.20916403 0.29600332 0.3635425  0.13129015]
18,9,10000,1.2,2,0.31370924813520673,0.29708559833177517,0.8859974365322671,[0.11905643 0.88094357]
19,9,10000,1.2,2,0.8647119650204942,0.42723622274055606,0.9443806599444154,[0.63753391 0.36246609]
20,9,10000,1.2,2,0.5837656592965076,0.4898229580388289,0.8227108540933183,[0.73110344 0.26889656]
21,9,10000,1.4,2,0.5544762070865291,0.744635475499193,0.9091046609522861,[0.15671635 0.84328365]
22,9,10000,1.4,6,0.45628435748317997,0.07212777134166853,0.7998765533659117,[0.61468714 0.15743726 0.02700911 0.07733166 0.10902156 0.01451327]
23,9,10000,1.4,4,0.13587075397595494,0.7256077734987063,0.8621617876126637,[0.05098321 0.21717404 0.72410454 0.00773821]
24,9,10000,1.4,1,0.1578444450048203,0.039149263144386846,0.9461270922517988,[1.]
25,9,10000,1.4,4,0.3525640904655142,0.2999634766398298,0.7948764723365115,[0.00687129 0.73623899 0.16598636 0.09090336]
26,9,10000,1.4,6,0.9853806140731336,0.6168707662129589,0.8602572961880676,[0.21379439 0.1361919  0.12376496 0.09395374 0.13417091 0.29812409]
27,9,10000,1.4,6,0.3398291107959577,0.7422821545284419,0.890113674415768,[0.02084363 0.08063923 0.23470177 0.12532586 0.26297306 0.27551645]
