f,d,N,pi_s,K,theta,w_p,w_e,v
1,9,10000,1.0,1,0.25687472731162886,0.37128948819636887,0.8452479960279866,[1.]
2,9,10000,1.0,2,0.9948215850097195,0.06134047630254185,0.8179765250387251,[0.67892295 0.32107705]
3,9,10000,1.0,1,0.5445194713855963,0.18668680263918114,0.9375162936711473,[1.]
4,9,10000,1.0,6,0.8761926195898659,0.7576435624493846,0.8155372562185611,[0.12670315 0.03928138 0.09986195 0.08308329 0.24548137 0.40558885]
5,9,10000,1.0,4,0.4083617526666409,0.40376916959723697,0.870356337475019,[0.1721141  0.09846984 0.28784398 0.44157207]
6,9,10000,1.0,6,0.27923682933142224,0.6312004230209731,0.9256336548575618,[0.45571856 0.03224031 0.1929886  0.05124666 0.25236427 0.01544159]
7,9,10000,1.0,2,0.5958001138885639,0.7232275613445134,0.870377626226422,[0.49504315 0.50495685]
8,9,10000,1.0,4,0.32665847487958954,0.01186703865186685,0.7560345218431862,[0.09348898 0.1086363  0.70542406 0.09245066]
9,9,10000,1.0,6,0.6685635505933608,0.2698847215421849,0.832451652592717,[0.03905922 0.1285376  0.19570871 0.25390017 0.18174136 0.20105294]
10,9,10000,1.0,4,0.5386496394619676,0.35439563064250035,0.7995764341678103,[0.14061345 0.24805568 0.597117   0.01421387]
11,9,10000,1.2,6,0.0648888220184265,0.031895420448060444,0.8775399056115682,[0.02393159 0.10112096 0.01959072 0.20713214 0.21589673 0.43232786]
12,9,10000,1.2,4,0.0181917553987907,0.2026949286735073,0.7753732175125619,[0.23280193 0.27996739 0.28063172 0.20659897]
13,9,10000,1.2,1,0.06689370717492416,0.3771892164252734,0.9195166843023016,[1.]
14,9,10000,1.2,6,0.39692084290183605,0.31433805250707736,0.9084543892812595,[0.04103498 0.07772377 0.4337826  0.19051878 0.25286485 0.00407502]
15,9,10000,1.2,6,0.863336617873444,0.2872314663751177,0.7901075077283632,[0.2641694  0.0264084  0.09068058 0.00705549 0.17237597 0.43931016]
16,9,10000,1.2,2,0.3483723323236406,0.5448354484287016,0.9329665671542495,[0.0777601 0.9222399]
17,9,10000,1.2,2,0.07924428809422679,0.780947429791097,0.8787094396583757,[0.5052552 0.4947448]
18,9,10000,1.2,2,0.732478901374989,0.5310630062056652,0.8360963212601437,[0.43432981 0.56567019]
19,9,10000,1.2,6,0.7022760363395352,0.01860513931092344,0.8132237315319663,[0.28580343 0.25801859 0.05984194 0.31133279 0.06059086 0.02441239]
20,9,10000,1.2,6,0.39031172341348896,0.7385635125791304,0.895755132413378,[0.16388797 0.01017168 0.09020845 0.05654012 0.30929469 0.36989709]
21,9,10000,1.4,2,0.807761544501746,0.9492407631141109,0.7658658967620856,[0.78955602 0.21044398]
22,9,10000,1.4,4,0.8170412828573794,0.792621905820016,0.8591174430858617,[0.07819536 0.62017523 0.20660269 0.09502672]
23,9,10000,1.4,1,0.9022331545396368,0.5164636834692629,0.9367040499952309,[1.]
24,9,10000,1.4,1,0.4187002287744126,0.08893994599336366,0.8646417206108737,[1.]
25,9,10000,1.4,1,0.3947040874791752,0.5336354303296472,0.8713220838157774,[1.]
26,9,10000,1.4,2,0.09805166748027405,0.760069636016562,0.8494316756584113,[0.11048017 0.88951983]
27,9,10000,1.4,1,0.49693181031171285,0.307309688715718,0.9419409403795631,[1.]
28,9,10000,1.4,6,0.2190955791054382,0.38404101105702637,0.8810872882612323,[0.40391171 0.02431567 0.32547434 0.04976863 0.19530679 0.00122287]
29,9,10000,1.4,2,0.1920897826525947,0.738801178823586,0.7546443715484056,[0.84366859 0.15633141]
30,9,10000,1.4,6,0.8760679803545824,0.7612300031944328,0.8068077557814166,[0.18664807 0.0800818  0.09741812 0.07396291 0.48420893 0.07768017]
31,9,10000,1.6,4,0.553311785038633,0.049538595687059254,0.8209077943115584,[0.43133353 0.08837771 0.45620961 0.02407915]
32,9,10000,1.6,2,0.8483096227916713,0.760612504231179,0.7872547333392224,[0.36681658 0.63318342]
33,9,10000,1.6,1,0.20714382267080045,0.5272262582179076,0.8073486231807869,[1.]
34,9,10000,1.6,6,0.3456493412366026,0.35485427840810874,0.796075891278624,[0.24969039 0.05272269 0.26236291 0.06717131 0.15792567 0.21012703]
35,9,10000,1.6,1,0.023792181486771313,0.33714813820809975,0.9018054226081126,[1.]
36,9,10000,1.6,2,0.5118119098651104,0.7675395731435224,0.8304417998753741,[0.64827623 0.35172377]
37,9,10000,1.6,2,0.3042446990264416,0.09279269851754154,0.8074868063072564,[0.81722199 0.18277801]
38,9,10000,1.6,6,0.48739339514707414,0.15947874298100398,0.8001231424081835,[0.14048395 0.15001036 0.34793953 0.05209406 0.19721251 0.11225958]
39,9,10000,1.6,6,0.5457196846932584,0.7699538271085864,0.8830435885365094,[0.56633766 0.01176206 0.00064564 0.01624748 0.10346529 0.30154187]
40,9,10000,1.6,6,0.8287934467477122,0.14912422249864962,0.9297521470699004,[0.21776807 0.11577645 0.26638702 0.10695901 0.26765708 0.02545236]
41,9,10000,1.8,6,0.1701771152825915,0.25431849295674513,0.9321701685455528,[0.20301275 0.01323506 0.10478801 0.4219497  0.00374112 0.25327336]
42,9,10000,1.8,2,0.6790759688873809,0.12075669881316654,0.9279701024867955,[0.29185902 0.70814098]
43,9,10000,1.8,4,0.18258023327183293,0.2746152937217703,0.8672002120677395,[0.15287835 0.18666267 0.24630227 0.41415671]
44,9,10000,1.8,6,0.9605605998363306,0.14811614950788632,0.8654118753832261,[0.23529958 0.28371568 0.15674499 0.06150167 0.1704535  0.09228457]
45,9,10000,1.8,1,0.16001483747709366,0.5623005927272049,0.853055783680447,[1.]
46,9,10000,1.8,4,0.1399973080189787,0.565442996194022,0.8781596843337764,[0.11407275 0.68075341 0.07599388 0.12917995]
47,9,10000,1.8,4,0.19150285015081292,0.5458211572041375,0.8703618195192977,[0.56146618 0.19930694 0.21069928 0.0285276 ]
48,9,10000,1.8,1,0.07664454797032283,0.11865675503340413,0.9095011922271886,[1.]
49,9,10000,1.8,2,0.7567007746412768,0.8618259380273088,0.8704690630235064,[0.84496568 0.15503432]
50,9,10000,1.8,6,0.3757132239017037,0.7893458238543885,0.8016368267992264,[0.33781942 0.13472934 0.09624608 0.00602801 0.2525759  0.17260125]
51,10,10000,1.0,1,0.44061350804221766,0.6340407849517931,0.8293963579837103,[1.]
52,10,10000,1.0,7,0.27597360392703185,0.6963414135414707,0.8693765738545696,"[0.01100802 0.20014651 0.028311   0.38281705 0.07538663 0.23284479
 0.069486  ]"
53,10,10000,1.0,5,0.967575257456479,0.5461490962085428,0.8497366770060635,[0.34736817 0.38118719 0.10830587 0.13504235 0.02809642]
54,10,10000,1.0,5,0.8974539551290222,0.034523721327158176,0.9064878337227998,[0.45528982 0.04098714 0.36468893 0.01972792 0.11930619]
55,10,10000,1.0,2,0.7196937900263342,0.4524962702875765,0.9400444330320421,[0.61057662 0.38942338]
56,10,10000,1.0,2,0.6450840867639951,0.042252940230927544,0.9061550398979605,[0.7862914 0.2137086]
57,10,10000,1.0,5,0.23923735143570568,0.5294818704713833,0.7745991483254132,[0.00297232 0.10714351 0.43920637 0.2556275  0.1950503 ]
58,10,10000,1.0,2,0.5511458113586261,0.6983186188062442,0.7511977102573122,[0.97097949 0.02902051]
59,10,10000,1.0,2,0.881210330577995,0.4448168459469363,0.8020446394615595,[0.48664269 0.51335731]
60,10,10000,1.0,5,0.9198914238975965,0.29210982785854006,0.7773732300673987,[0.03972426 0.13035599 0.31263808 0.19486754 0.32241412]
61,10,10000,1.2,2,0.7458985641779082,0.9182722207044057,0.8966890214751146,[0.54780874 0.45219126]
