f,s,d,N,pi_s,K,theta,w_p,w_e,v
1,1,9,10000,1.0,6,0.6126926786688819,0.8690777557978218,0.7711796113596437,[0.33301464 0.28472388 0.24736274 0.02030244 0.01019329 0.10440301]
1,2,9,10000,1.0,6,0.6126926786688819,0.8690777557978218,0.7711796113596437,[0.33301464 0.28472388 0.24736274 0.02030244 0.01019329 0.10440301]
1,3,9,10000,1.0,6,0.6126926786688819,0.8690777557978218,0.7711796113596437,[0.33301464 0.28472388 0.24736274 0.02030244 0.01019329 0.10440301]
1,4,9,10000,1.0,6,0.6126926786688819,0.8690777557978218,0.7711796113596437,[0.33301464 0.28472388 0.24736274 0.02030244 0.01019329 0.10440301]
1,5,9,10000,1.0,6,0.6126926786688819,0.8690777557978218,0.7711796113596437,[0.33301464 0.28472388 0.24736274 0.02030244 0.01019329 0.10440301]
1,6,9,10000,1.0,6,0.6126926786688819,0.8690777557978218,0.7711796113596437,[0.33301464 0.28472388 0.24736274 0.02030244 0.01019329 0.10440301]
1,7,9,10000,1.0,6,0.6126926786688819,0.8690777557978218,0.7711796113596437,[0.33301464 0.28472388 0.24736274 0.02030244 0.01019329 0.10440301]
1,8,9,10000,1.0,6,0.6126926786688819,0.8690777557978218,0.7711796113596437,[0.33301464 0.28472388 0.24736274 0.02030244 0.01019329 0.10440301]
1,9,9,10000,1.0,6,0.6126926786688819,0.8690777557978218,0.7711796113596437,[0.33301464 0.28472388 0.24736274 0.02030244 0.01019329 0.10440301]
1,10,9,10000,1.0,6,0.6126926786688819,0.8690777557978218,0.7711796113596437,[0.33301464 0.28472388 0.24736274 0.02030244 0.01019329 0.10440301]
2,1,9,10000,1.0,6,0.1661394276745209,0.3513295999307492,0.7744558942378006,[0.1845968  0.06810071 0.42277236 0.00943856 0.07794258 0.23714898]
2,2,9,10000,1.0,6,0.1661394276745209,0.3513295999307492,0.7744558942378006,[0.1845968  0.06810071 0.42277236 0.00943856 0.07794258 0.23714898]
2,3,9,10000,1.0,6,0.1661394276745209,0.3513295999307492,0.7744558942378006,[0.1845968  0.06810071 0.42277236 0.00943856 0.07794258 0.23714898]
2,4,9,10000,1.0,6,0.1661394276745209,0.3513295999307492,0.7744558942378006,[0.1845968  0.06810071 0.42277236 0.00943856 0.07794258 0.23714898]
2,5,9,10000,1.0,6,0.1661394276745209,0.3513295999307492,0.7744558942378006,[0.1845968  0.06810071 0.42277236 0.00943856 0.07794258 0.23714898]
2,6,9,10000,1.0,6,0.1661394276745209,0.3513295999307492,0.7744558942378006,[0.1845968  0.06810071 0.42277236 0.00943856 0.07794258 0.23714898]
2,7,9,10000,1.0,6,0.1661394276745209,0.3513295999307492,0.7744558942378006,[0.1845968  0.06810071 0.42277236 0.00943856 0.07794258 0.23714898]
2,8,9,10000,1.0,6,0.1661394276745209,0.3513295999307492,0.7744558942378006,[0.1845968  0.06810071 0.42277236 0.00943856 0.07794258 0.23714898]
2,9,9,10000,1.0,6,0.1661394276745209,0.3513295999307492,0.7744558942378006,[0.1845968  0.06810071 0.42277236 0.00943856 0.07794258 0.23714898]
2,10,9,10000,1.0,6,0.1661394276745209,0.3513295999307492,0.7744558942378006,[0.1845968  0.06810071 0.42277236 0.00943856 0.07794258 0.23714898]
3,1,9,10000,1.0,4,0.5855089780196329,0.277392725233075,0.8810033106391553,[0.60426107 0.08781466 0.26147387 0.04645041]
3,2,9,10000,1.0,4,0.5855089780196329,0.277392725233075,0.8810033106391553,[0.60426107 0.08781466 0.26147387 0.04645041]
3,3,9,10000,1.0,4,0.5855089780196329,0.277392725233075,0.8810033106391553,[0.60426107 0.08781466 0.26147387 0.04645041]
3,4,9,10000,1.0,4,0.5855089780196329,0.277392725233075,0.8810033106391553,[0.60426107 0.08781466 0.26147387 0.04645041]
3,5,9,10000,1.0,4,0.5855089780196329,0.277392725233075,0.8810033106391553,[0.60426107 0.08781466 0.26147387 0.04645041]
3,6,9,10000,1.0,4,0.5855089780196329,0.277392725233075,0.8810033106391553,[0.60426107 0.08781466 0.26147387 0.04645041]
3,7,9,10000,1.0,4,0.5855089780196329,0.277392725233075,0.8810033106391553,[0.60426107 0.08781466 0.26147387 0.04645041]
3,8,9,10000,1.0,4,0.5855089780196329,0.277392725233075,0.8810033106391553,[0.60426107 0.08781466 0.26147387 0.04645041]
3,9,9,10000,1.0,4,0.5855089780196329,0.277392725233075,0.8810033106391553,[0.60426107 0.08781466 0.26147387 0.04645041]
3,10,9,10000,1.0,4,0.5855089780196329,0.277392725233075,0.8810033106391553,[0.60426107 0.08781466 0.26147387 0.04645041]
4,1,9,10000,1.0,1,0.5072683204405305,0.1946596812226403,0.8774090534761106,[1.]
4,2,9,10000,1.0,1,0.5072683204405305,0.1946596812226403,0.8774090534761106,[1.]
4,3,9,10000,1.0,1,0.5072683204405305,0.1946596812226403,0.8774090534761106,[1.]
4,4,9,10000,1.0,1,0.5072683204405305,0.1946596812226403,0.8774090534761106,[1.]
4,5,9,10000,1.0,1,0.5072683204405305,0.1946596812226403,0.8774090534761106,[1.]
4,6,9,10000,1.0,1,0.5072683204405305,0.1946596812226403,0.8774090534761106,[1.]
4,7,9,10000,1.0,1,0.5072683204405305,0.1946596812226403,0.8774090534761106,[1.]
4,8,9,10000,1.0,1,0.5072683204405305,0.1946596812226403,0.8774090534761106,[1.]
4,9,9,10000,1.0,1,0.5072683204405305,0.1946596812226403,0.8774090534761106,[1.]
4,10,9,10000,1.0,1,0.5072683204405305,0.1946596812226403,0.8774090534761106,[1.]
5,1,9,10000,1.0,4,0.6719102288325314,0.7223082584337633,0.8889598751059835,[0.05231465 0.84310202 0.09405981 0.01052352]
5,2,9,10000,1.0,4,0.6719102288325314,0.7223082584337633,0.8889598751059835,[0.05231465 0.84310202 0.09405981 0.01052352]
5,3,9,10000,1.0,4,0.6719102288325314,0.7223082584337633,0.8889598751059835,[0.05231465 0.84310202 0.09405981 0.01052352]
5,4,9,10000,1.0,4,0.6719102288325314,0.7223082584337633,0.8889598751059835,[0.05231465 0.84310202 0.09405981 0.01052352]
5,5,9,10000,1.0,4,0.6719102288325314,0.7223082584337633,0.8889598751059835,[0.05231465 0.84310202 0.09405981 0.01052352]
5,6,9,10000,1.0,4,0.6719102288325314,0.7223082584337633,0.8889598751059835,[0.05231465 0.84310202 0.09405981 0.01052352]
